episode,speakers,emotions,utterances,triggers
utterance_0,"['Chandler', 'The Interviewer', 'Chandler', 'The Interviewer', 'Chandler']","['neutral', 'neutral', 'neutral', 'neutral', 'surprise']","[""also I was the point person on my company's transition from the KL-5 to GR-6 system."", ""You must've had your hands full."", 'That I did. That I did.', ""So let's talk a little bit about your duties."", 'My duties?  All right.']","[0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_1,"['Chandler', 'The Interviewer', 'Chandler', 'The Interviewer', 'Chandler', 'The Interviewer', 'Chandler']","['neutral', 'neutral', 'neutral', 'neutral', 'surprise', 'neutral', 'neutral']","[""also I was the point person on my company's transition from the KL-5 to GR-6 system."", ""You must've had your hands full."", 'That I did. That I did.', ""So let's talk a little bit about your duties."", 'My duties?  All right.', ""Now you'll be heading a whole division, so you'll have a lot of duties."", 'I see.']","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_2,"['Chandler', 'The Interviewer', 'Chandler', 'The Interviewer', 'Chandler', 'The Interviewer', 'Chandler', 'The Interviewer', 'Chandler', 'The Interviewer', 'Chandler']","['neutral', 'neutral', 'neutral', 'neutral', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'fear']","[""also I was the point person on my company's transition from the KL-5 to GR-6 system."", ""You must've had your hands full."", 'That I did. That I did.', ""So let's talk a little bit about your duties."", 'My duties?  All right.', ""Now you'll be heading a whole division, so you'll have a lot of duties."", 'I see.', ""But there'll be perhaps 30 people under you so you can dump a certain amount on them."", 'Good to know.', 'We can go into detail', ""No don't I beg of you!""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
utterance_3,"['Chandler', 'The Interviewer', 'Chandler', 'The Interviewer', 'Chandler', 'The Interviewer', 'Chandler', 'The Interviewer', 'Chandler', 'The Interviewer', 'Chandler', 'The Interviewer', 'Chandler']","['neutral', 'neutral', 'neutral', 'neutral', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'fear', 'neutral', 'surprise']","[""also I was the point person on my company's transition from the KL-5 to GR-6 system."", ""You must've had your hands full."", 'That I did. That I did.', ""So let's talk a little bit about your duties."", 'My duties?  All right.', ""Now you'll be heading a whole division, so you'll have a lot of duties."", 'I see.', ""But there'll be perhaps 30 people under you so you can dump a certain amount on them."", 'Good to know.', 'We can go into detail', ""No don't I beg of you!"", ""All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here."", 'Really?!']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_4,"['Joey', 'Rachel', 'Joey', 'Rachel']","['surprise', 'sadness', 'surprise', 'fear']","['But then who? The waitress I went out with last month?', 'You know? Forget it!', 'No-no-no-no, no! Who, who were you talking about?', ""No, I-I-I-I don't, I actually don't know""]","[0.0, 0.0, 1.0, 0.0]"
utterance_5,"['Joey', 'Rachel', 'Joey', 'Rachel', 'Joey']","['surprise', 'sadness', 'surprise', 'fear', 'neutral']","['But then who? The waitress I went out with last month?', 'You know? Forget it!', 'No-no-no-no, no! Who, who were you talking about?', ""No, I-I-I-I don't, I actually don't know"", 'Ok!']","[0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_6,"['Joey', 'Rachel', 'Joey', 'Rachel', 'Joey', 'Joey', 'Rachel']","['surprise', 'sadness', 'surprise', 'fear', 'neutral', 'neutral', 'neutral']","['But then who? The waitress I went out with last month?', 'You know? Forget it!', 'No-no-no-no, no! Who, who were you talking about?', ""No, I-I-I-I don't, I actually don't know"", 'Ok!', 'All right, well...', 'Yeah, sure!']","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
utterance_7,"['Chandler', 'Monica', 'Chandler']","['neutral', 'neutral', 'joy']","['Hey, Mon.', 'Hey-hey-hey. You wanna hear something that sucks.', 'Do I ever.']","[0.0, 1.0, 0.0]"
utterance_8,"['Chandler', 'Monica', 'Chandler', 'Monica']","['neutral', 'neutral', 'joy', 'sadness']","['Hey, Mon.', 'Hey-hey-hey. You wanna hear something that sucks.', 'Do I ever.', ""Chris says they're closing down the bar.""]","[0.0, 0.0, 0.0, 1.0]"
utterance_9,"['Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler']","['neutral', 'neutral', 'joy', 'sadness', 'surprise']","['Hey, Mon.', 'Hey-hey-hey. You wanna hear something that sucks.', 'Do I ever.', ""Chris says they're closing down the bar."", 'No way!']","[0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_10,"['Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler', 'Monica']","['neutral', 'neutral', 'joy', 'sadness', 'surprise', 'neutral']","['Hey, Mon.', 'Hey-hey-hey. You wanna hear something that sucks.', 'Do I ever.', ""Chris says they're closing down the bar."", 'No way!', ""Yeah, apparently they're turning it into some kinda coffee place.""]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_11,"['Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler']","['neutral', 'neutral', 'joy', 'sadness', 'surprise', 'neutral', 'disgust']","['Hey, Mon.', 'Hey-hey-hey. You wanna hear something that sucks.', 'Do I ever.', ""Chris says they're closing down the bar."", 'No way!', ""Yeah, apparently they're turning it into some kinda coffee place."", 'Just coffee! Where are we gonna hang out now?']","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
utterance_12,"['Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler', 'Monica']","['neutral', 'neutral', 'joy', 'sadness', 'surprise', 'neutral', 'disgust', 'sadness']","['Hey, Mon.', 'Hey-hey-hey. You wanna hear something that sucks.', 'Do I ever.', ""Chris says they're closing down the bar."", 'No way!', ""Yeah, apparently they're turning it into some kinda coffee place."", 'Just coffee! Where are we gonna hang out now?', 'Got me.']","[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]"
utterance_13,"['Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler']","['neutral', 'neutral', 'joy', 'sadness', 'surprise', 'neutral', 'disgust', 'sadness', 'neutral']","['Hey, Mon.', 'Hey-hey-hey. You wanna hear something that sucks.', 'Do I ever.', ""Chris says they're closing down the bar."", 'No way!', ""Yeah, apparently they're turning it into some kinda coffee place."", 'Just coffee! Where are we gonna hang out now?', 'Got me.', 'Can I get a beer.']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
utterance_14,"['Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler', 'Monica', 'Chandler', 'Monica']","['neutral', 'neutral', 'joy', 'sadness', 'surprise', 'neutral', 'disgust', 'sadness', 'neutral', 'neutral']","['Hey, Mon.', 'Hey-hey-hey. You wanna hear something that sucks.', 'Do I ever.', ""Chris says they're closing down the bar."", 'No way!', ""Yeah, apparently they're turning it into some kinda coffee place."", 'Just coffee! Where are we gonna hang out now?', 'Got me.', 'Can I get a beer.', 'Hey, did you pick a roommate?']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
